Category,Community,01/01/2012,02/01/2012,03/01/2012,04/01/2012,05/01/2012,06/01/2012,07/01/2012,08/01/2012,09/01/2012,10/01/2012,11/01/2012,12/01/2012,01/01/2013,02/01/2013,03/01/2013,04/01/2013,05/01/2013,06/01/2013,07/01/2013,08/01/2013,09/01/2013,10/01/2013,11/01/2013,12/01/2013,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,SEP,OCT,NOV,DEC
Assault (Non-domestic),ABBEYDALE,,1,,,2,3,1,2,2,,,1,1,,2,1,2,,1,4,2,2,3,,1,1,,2,1,,1,2,,,,2,,3,,1,,,1,1,,,2,,1,,,1,,2,1,,2,,,,4,1,,1,1,1,1,1,,,,
Assault (Non-domestic),ACADIA,3,2,3,2,4,3,1,3,4,5,4,1,,1,2,4,1,8,2,2,3,2,2,2,3,5,2,1,3,,3,1,3,2,1,,,2,2,1,1,4,4,6,1,2,6,,1,2,1,7,5,1,2,3,4,,,,,1,3,3,5,3,2,,,,,
Assault (Non-domestic),ALBERT PARK/RADISSON HEIGHTS,,5,12,5,4,4,3,9,5,3,,2,1,6,3,,7,5,5,7,5,3,2,5,6,,5,4,7,1,5,7,1,6,2,2,4,2,4,1,1,2,4,2,3,2,3,4,4,2,3,,4,3,4,3,3,,,,4,2,3,2,3,1,3,5,,,,
Assault (Non-domestic),ALTADORE,,,1,,2,2,2,1,1,3,3,2,,1,1,,,1,,,,2,,2,,,1,,4,,,1,,1,,6,1,,1,,,,,1,1,2,,1,,1,1,,1,,,,,,,,1,,1,2,,2,1,2,,,,
Assault (Non-domestic),ALYTH/BONNYBROOK,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
Assault (Non-domestic),APPLEWOOD PARK,,1,,,1,2,1,1,,,,,,,1,,,,,,1,1,,,1,,,1,,,,,,,,2,,,2,1,,1,,,1,,1,,2,1,1,2,,,1,,1,,,,,1,,,1,3,,1,,,,
Assault (Non-domestic),ARBOUR LAKE,,1,1,,2,,,1,2,,,,2,,2,1,3,2,,2,1,1,,,,,,,2,1,1,,1,1,1,3,3,2,1,,,1,,1,,2,2,,,,2,3,2,,,,,,,,6,3,2,,2,,2,4,,,,
Assault (Non-domestic),ASPEN WOODS,,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,3,,1,,2,1,1,,,,,
Assault (Non-domestic),AUBURN BAY,,,,1,,,,1,,1,,,,,,,1,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,2,,1,,1,1,,,,,,,,,,,,,,1,,1,,1,1,1,,,,
Assault (Non-domestic),AURORA BUSINESS PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
