Community,2013,2014,2015,2016,2017
ABBEYDALE                               ,"6,074","6,071","6,167","5,912","6,043"
ACADIA                                  ,"10,947","10,969","11,053","10,767","10,660"
ALBERT PARK/RADISSON HEIGHTS            ,"6,049","6,529","6,611","6,673","6,745"
ALTADORE                                ,"9,289","9,518","9,867","6,676","6,795"
ALYTH/BONNYBROOK                        ,0,0,11,0,0
APPLEWOOD PARK                          ,"6,579","6,864","6,863","6,764","6,921"
ARBOUR LAKE                             ,"10,892","10,987","10,947","10,921","10,713"
ASPEN WOODS,"6,371","7,496","8,271","9,055","9,212"
AUBURN BAY                              ,"8,825","11,127","13,191","14,559","16,429"
BANFF TRAIL                             ,"4,136","4,204","4,335","4,189","4,092"
BANKVIEW                                ,"5,217","5,416","5,516","5,158","5,090"
BAYVIEW                                 ,662,669,648,665,638
BEDDINGTON HEIGHTS                      ,"11,721","11,867","11,973","11,792","11,694"
BEL-AIRE                                ,442,434,402,408,410
BELTLINE                                ,"20,194","21,357","21,939","21,958","23,219"
BELVEDERE,,,,,46
BONAVISTA DOWNS                         ,919,956,971,923,911
BOWNESS                                 ,"11,001","11,611","11,235","11,010","10,895"
BRAESIDE                                ,"5,799","5,960","6,049","5,985","5,960"
BRENTWOOD                               ,"6,076","6,206","6,941","7,133","7,132"
BRIDGELAND/RIVERSIDE                    ,"5,526","5,962","6,010","6,052","6,332"
BRIDLEWOOD                              ,"12,353","12,588","13,045","12,711","12,696"
BRITANNIA                               ,753,722,711,717,668
BURNS INDUSTRIAL                        ,0,0,0,0,0
CALGARY INTERNATIONAL AIRPORT           ,0,0,0,0,0
CAMBRIAN HEIGHTS                        ,"2,056","2,090","2,150","2,107","2,075"
CANYON MEADOWS                          ,"7,822","7,838","7,949","7,855","7,553"
CAPITOL HILL                            ,"4,169","4,413","4,465","4,571","4,459"
CARRINGTON,,,,0,0
CASTLERIDGE                             ,"6,364","6,396","6,475","6,305","6,181"
CEDARBRAE                               ,"6,236","6,271","6,308","6,177","6,075"
CFB - CURRIE,268,414,502,0,0
CFB - LINCOLN PARK PMQ,"2,003","2,065","2,031",0,0
CHAPARRAL                               ,"11,950","12,407","13,000","13,013","12,964"
CHARLESWOOD                             ,"3,539","3,646","3,669","3,639","3,582"
CHINATOWN                               ,"1,596","1,836","1,906","2,104","2,124"
CHINOOK PARK                            ,"1,701","1,708","1,702","1,687","1,663"
CHRISTIE PARK                           ,"2,209","2,217","2,162","2,153","2,148"
CITADEL                                 ,"10,285","10,391","10,517","10,509","10,293"
CITYSCAPE                               ,0,0,627,"1,551","2,529"
CLIFF BUNGALOW                          ,"1,952","2,049","2,125","1,925","1,796"
COACH HILL                              ,"3,229","3,303","3,301","3,317","3,271"
COLLINGWOOD                             ,"2,245","2,300","2,300","2,235","2,216"
COPPERFIELD,"8,942","9,966","11,434","12,571","13,017"
CORAL SPRINGS                           ,"5,939","6,018","5,853","5,831","5,792"
CORNERSTONE,,,,0,54
COUGAR RIDGE,"5,985","6,702","6,954","7,015","7,072"
COUNTRY HILLS                           ,"3,762","3,787","3,835","3,829","3,806"
COUNTRY HILLS VILLAGE                   ,"2,618","2,710","2,691","2,689","2,596"
COVENTRY HILLS                          ,"16,580","16,941","17,546","17,459","17,564"
CRANSTON                                ,"13,435","15,354","17,185","18,013","18,559"
CRESCENT HEIGHTS                        ,"6,215","6,235","6,380","6,097","6,197"
CRESTMONT                               ,"1,505","1,514","1,542","1,538","1,540"
CURRIE BARRACKS,,,,729,857
DALHOUSIE                               ,"9,026","9,186","9,362","9,111","8,992"
DEER RIDGE                              ,"4,173","4,165","4,316","4,110","4,086"
DEER RUN                                ,"5,356","5,335","5,319","5,182","5,111"
DIAMOND COVE                            ,680,713,711,727,727
DISCOVERY RIDGE                         ,"4,332","4,462","4,401","4,331","4,268"
DOUGLASDALE/GLEN                        ,"12,101","12,952","12,714","12,697","12,745"
DOVER                                   ,"10,519","11,024","10,970","10,928","10,484"
DOWNTOWN COMMERCIAL CORE                ,"8,426","8,999","9,083","8,758","8,477"
DOWNTOWN EAST VILLAGE                   ,"2,775","2,705","2,838","3,242","3,480"
DOWNTOWN WEST END                       ,"2,278","2,287","2,501","2,344","2,456"
EAGLE RIDGE                             ,435,500,534,474,477
EAST FAIRVIEW INDUSTRIAL                ,0,13,0,15,0
EAST SHEPARD INDUSTRIAL                 ,0,0,0,0,0
EAU CLAIRE                              ,"1,728","1,886","1,683","1,666","1,494"
EDGEMONT                                ,"15,972","16,052","15,986","15,708","15,701"
ELBOW PARK                              ,"3,448","3,126","3,304","3,328","3,360"
ELBOYA                                  ,"1,790","1,736","1,849","1,810","1,783"
ERIN WOODS,"7,151","7,146","7,309","7,034","6,974"
ERLTON                                  ,"1,241","1,210","1,280","1,251","1,307"
EVANSTON,"8,274","10,030","12,883","14,264","15,885"
EVERGREEN       ,"20,809","21,386","21,700","21,394","21,439"
FAIRVIEW                                ,"3,770","3,837","3,830","3,847","3,686"
FAIRVIEW INDUSTRIAL                     ,0,0,0,0,0
FALCONRIDGE                             ,"10,637","10,840","11,088","10,881","10,352"
FISH CREEK PARK                         ,,,,,0
FOOTHILLS                               ,326,343,356,304,265
FOREST HEIGHTS                          ,"6,321","6,511","6,648","6,538","6,406"
FOREST LAWN                             ,"7,757","8,037","8,179","7,711","7,772"
FOREST LAWN INDUSTRIAL                  ,138,133,131,129,105
FRANKLIN                                ,0,0,0,0,0
GARRISON GREEN,,,,"2,066","2,093"
GARRISON WOODS,,,,"3,188","3,179"
GLAMORGAN                               ,"6,366","6,486","6,432","6,457","6,385"
GLENBROOK                               ,"7,001","7,202","7,599","7,189","7,209"
GLENDALE                                ,"2,735","2,739","2,794","2,809","2,768"
GLENMORE PARK                           ,0,0,0,0,0
GOLDEN TRIANGLE                         ,0,0,0,0,0
GREENVIEW                               ,"2,043","2,142","2,113","1,977","2,036"
GREENVIEW INDUSTRIAL PARK               ,0,0,130,145,146
GREENWOOD/GREENBRIAR                    ,944,950,957,921,912
HAMPTONS                                ,"7,846","7,775","7,767","7,706","7,567"
HARVEST HILLS                           ,"7,465","7,594","7,593","7,568","7,302"
HAWKWOOD                                ,"9,801","9,773","9,828","9,697","9,512"
HAYSBORO                                ,"7,009","7,240","7,255","7,086","7,076"
HIDDEN VALLEY                           ,"11,824","11,874","11,900","11,869","11,708"
HIGHLAND PARK                           ,"3,706","3,965","4,139","4,014","3,998"
HIGHWOOD                                ,"2,214","2,229","2,314","2,329","2,233"
HILLHURST                               ,"6,357","6,497","6,737","6,737","6,648"
HORIZON                                 ,33,69,45,42,27
HOUNSFIELD HEIGHTS/BRIAR HILL           ,"3,007","2,921","2,972","2,972","3,016"
HUNTINGTON HILLS                        ,"13,566","13,536","13,781","13,497","13,154"
INGLEWOOD                               ,"3,618","3,647","3,935","3,865","4,008"
KELVIN GROVE                            ,"2,411","2,385","2,234","2,361","2,311"
KILLARNEY/GLENGARRY                     ,"6,870","7,231","7,677","7,463","7,423"
KINCORA                                 ,"5,088","5,398","5,974","6,166","6,363"
KINGSLAND                               ,"4,568","4,812","4,733","4,699","4,667"
LAKE BONAVISTA                          ,"10,537","10,502","10,529","10,478","10,419"
LAKEVIEW                                ,"5,417","5,476","5,451","5,457","5,535"
LEGACY                                  ,0,351,"1,303","2,359","3,919"
LINCOLN PARK                            ,"2,561","2,623","2,726","2,689","2,441"
LIVINGSTON,,,0,0,0
MACEWAN                                 ,"5,088","5,053","5,029","4,932","4,930"
MAHOGANY                                ,"1,913","2,660","4,960","7,000","8,444"
MANCHESTER                              ,640,"1,332","1,055","1,013","1,052"
MANCHESTER INDUSTRIAL                   ,0,0,0,0,0
MAPLE RIDGE                             ,"1,921","1,936","1,938","1,953","1,937"
MARLBOROUGH                             ,"8,634","8,989","9,080","8,784","9,226"
MARLBOROUGH PARK                        ,"8,393","8,741","8,878","8,711","8,673"
MARTINDALE                              ,"14,084","14,761","15,055","14,877","14,708"
MAYFAIR                                 ,485,473,478,450,431
MAYLAND                                 ,0,0,0,0,0
MAYLAND HEIGHTS                         ,"5,920","6,357","6,157","5,919","5,808"
MCKENZIE LAKE                           ,"14,162","14,189","14,008","13,709","13,616"
MCKENZIE TOWNE                          ,"17,059","17,737","18,029","18,124","18,106"
MEADOWLARK PARK                         ,624,632,651,659,665
MIDNAPORE                               ,"6,962","6,956","7,183","7,099","7,320"
MILLRISE                                ,"6,915","7,052","7,041","6,886","6,990"
MISSION                                 ,"4,293","4,350","4,494","4,430","4,583"
MONTEREY PARK                           ,"10,592","10,703","10,835","10,671","10,670"
MONTGOMERY                              ,"3,958","4,104","4,246","4,358","4,353"
